"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","77.234.42.34","192.168.137.147","TLSv1.2","309","Application Data"
"2","0.001904","192.168.137.147","20.42.73.25","TCP","66","62447  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"3","0.040524","192.168.137.147","77.234.42.34","TCP","54","63562  >  443 [ACK] Seq=1 Ack=256 Win=512 Len=0"
"4","0.195374","20.42.73.25","192.168.137.147","TCP","66","443  >  62447 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1460 SACK_PERM WS=128"
"5","0.195625","192.168.137.147","20.42.73.25","TCP","54","62447  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=0"
"6","0.196810","192.168.137.147","20.42.73.25","TLSv1.2","281","Client Hello"
"7","0.198120","20.42.73.25","192.168.137.147","TCP","54","443  >  62447 [ACK] Seq=1 Ack=228 Win=15744 Len=0"
"8","0.362805","20.42.73.25","192.168.137.147","TCP","1514","443  >  62447 [ACK] Seq=1 Ack=228 Win=15744 Len=1460 [TCP segment of a reassembled PDU]"
"9","0.363030","192.168.137.147","20.42.73.25","TCP","54","62447  >  443 [ACK] Seq=228 Ack=1461 Win=262144 Len=0"
"10","0.363149","20.42.73.25","192.168.137.147","TCP","1514","443  >  62447 [ACK] Seq=1461 Ack=228 Win=15744 Len=1460 [TCP segment of a reassembled PDU]"
"11","0.363149","20.42.73.25","192.168.137.147","TCP","1514","443  >  62447 [ACK] Seq=2921 Ack=228 Win=15744 Len=1460 [TCP segment of a reassembled PDU]"
"12","0.363149","20.42.73.25","192.168.137.147","TCP","1514","443  >  62447 [ACK] Seq=4381 Ack=228 Win=15744 Len=1460 [TCP segment of a reassembled PDU]"
"13","0.363149","20.42.73.25","192.168.137.147","TLSv1.2","505","Server Hello, Certificate, Certificate Status, Server Key Exchange, Server Hello Done"
"14","0.363297","192.168.137.147","20.42.73.25","TCP","54","62447  >  443 [ACK] Seq=228 Ack=6292 Win=262144 Len=0"
"15","0.367194","192.168.137.147","20.42.73.25","TLSv1.2","212","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"16","0.369593","20.42.73.25","192.168.137.147","TCP","54","443  >  62447 [ACK] Seq=6292 Ack=386 Win=16768 Len=0"
"17","0.464422","20.42.73.25","192.168.137.147","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"18","0.464628","192.168.137.147","20.42.73.25","TCP","54","62447  >  443 [ACK] Seq=386 Ack=6343 Win=261888 Len=0"
"19","0.466253","192.168.137.147","20.42.73.25","TLSv1.2","1514","Application Data"
"20","0.466253","192.168.137.147","20.42.73.25","TCP","1514","62447  >  443 [ACK] Seq=1846 Ack=6343 Win=261888 Len=1460 [TCP segment of a reassembled PDU]"
"21","0.466253","192.168.137.147","20.42.73.25","TCP","1514","62447  >  443 [ACK] Seq=3306 Ack=6343 Win=261888 Len=1460 [TCP segment of a reassembled PDU]"
"22","0.466253","192.168.137.147","20.42.73.25","TLSv1.2","219","Application Data"
"23","0.468391","20.42.73.25","192.168.137.147","TCP","54","443  >  62447 [ACK] Seq=6343 Ack=1846 Win=19712 Len=0"
"24","0.468621","20.42.73.25","192.168.137.147","TCP","54","443  >  62447 [ACK] Seq=6343 Ack=3306 Win=22656 Len=0"
"25","0.468621","20.42.73.25","192.168.137.147","TCP","54","443  >  62447 [ACK] Seq=6343 Ack=4766 Win=25600 Len=0"
"26","0.468621","20.42.73.25","192.168.137.147","TCP","54","443  >  62447 [ACK] Seq=6343 Ack=4931 Win=28544 Len=0"
"27","0.635299","20.42.73.25","192.168.137.147","TLSv1.2","506","Application Data"
"28","0.635509","192.168.137.147","20.42.73.25","TCP","54","62447  >  443 [ACK] Seq=4931 Ack=6795 Win=261632 Len=0"
"29","0.955151","192.168.137.147","10.4.73.130","TCP","66","62448  >  49666 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"30","1.318001","192.168.137.147","77.234.42.34","TLSv1.2","144","Application Data"
"31","1.536116","192.168.137.147","77.234.42.34","TCP","144","[TCP Retransmission] 63562  >  443 [PSH, ACK] Seq=1 Ack=256 Win=512 Len=90"
"32","1.758469","77.234.42.34","192.168.137.147","TCP","54","443  >  63562 [ACK] Seq=256 Ack=91 Win=131 Len=0"
"33","1.782150","77.234.42.34","192.168.137.147","TLSv1.2","232","Application Data"
"34","1.788965","192.168.137.147","162.125.5.13","TCP","66","62449  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"35","1.790923","162.125.5.13","192.168.137.147","TCP","66","443  >  62449 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1460 SACK_PERM WS=128"
"36","1.791068","192.168.137.147","162.125.5.13","TCP","54","62449  >  443 [ACK] Seq=1 Ack=1 Win=131328 Len=0"
"37","1.793750","192.168.137.147","162.125.5.13","TLSv1.2","255","Client Hello"
"38","1.795483","162.125.5.13","192.168.137.147","TCP","54","443  >  62449 [ACK] Seq=1 Ack=202 Win=15744 Len=0"
"39","1.835134","192.168.137.147","77.234.42.34","TCP","54","63562  >  443 [ACK] Seq=91 Ack=434 Win=511 Len=0"
"40","1.918762","162.125.5.13","192.168.137.147","TLSv1.2","1514","Server Hello"
"41","1.918762","162.125.5.13","192.168.137.147","TCP","1514","443  >  62449 [ACK] Seq=1461 Ack=202 Win=15744 Len=1460 [TCP segment of a reassembled PDU]"
"42","1.918762","162.125.5.13","192.168.137.147","TLSv1.2","489","Certificate, Server Key Exchange, Server Hello Done"
"43","1.919034","192.168.137.147","162.125.5.13","TCP","54","62449  >  443 [ACK] Seq=202 Ack=3356 Win=131328 Len=0"
"44","1.921975","192.168.137.147","162.125.5.13","TLSv1.2","147","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"45","1.923297","162.125.5.13","192.168.137.147","TCP","54","443  >  62449 [ACK] Seq=3356 Ack=295 Win=15744 Len=0"
"46","1.961066","192.168.137.147","10.4.73.130","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 62448  >  49666 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"47","1.986204","162.125.5.13","192.168.137.147","TLSv1.2","312","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"48","2.007508","192.168.137.147","162.125.5.13","TLSv1.2","141","Application Data"
"49","2.007621","192.168.137.147","162.125.5.13","TLSv1.2","331","Application Data"
"50","2.197164","192.168.137.147","162.125.5.13","TCP","418","[TCP Retransmission] 62449  >  443 [PSH, ACK] Seq=295 Ack=3614 Win=131072 Len=364"
"51","2.310936","162.125.5.13","192.168.137.147","TCP","312","[TCP Spurious Retransmission] 443  >  62449 [PSH, ACK] Seq=3356 Ack=295 Win=15744 Len=258"
"52","2.311084","192.168.137.147","162.125.5.13","TCP","66","[TCP Dup ACK 48#1] 62449  >  443 [ACK] Seq=659 Ack=3614 Win=131072 Len=0 SLE=3356 SRE=3614"
"53","2.412263","162.125.5.13","192.168.137.147","TCP","54","443  >  62449 [ACK] Seq=3614 Ack=659 Win=16768 Len=0"
"54","2.443604","162.125.5.13","192.168.137.147","TLSv1.2","138","Application Data"
"55","2.444687","192.168.137.147","162.125.5.13","TLSv1.2","92","Application Data"
"56","2.447239","162.125.5.13","192.168.137.147","TCP","54","443  >  62449 [ACK] Seq=3698 Ack=697 Win=16768 Len=0"
"57","2.477379","162.125.5.13","192.168.137.147","TLSv1.2","381","Application Data"
"58","2.485174","192.168.137.147","162.125.5.13","TCP","54","62449  >  443 [FIN, ACK] Seq=697 Ack=4025 Win=130560 Len=0"
"59","2.487336","162.125.5.13","192.168.137.147","TCP","54","443  >  62449 [FIN, ACK] Seq=4025 Ack=698 Win=16768 Len=0"
"60","2.487779","192.168.137.147","162.125.5.13","TCP","54","62449  >  443 [ACK] Seq=698 Ack=4026 Win=130560 Len=0"
"61","2.970951","192.168.137.147","10.4.73.130","TCP","66","62450  >  49667 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"62","3.976678","192.168.137.147","10.4.73.130","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 62450  >  49667 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"63","4.985555","192.168.137.147","10.4.73.130","TCP","66","62451  >  49668 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"64","5.992505","192.168.137.147","10.4.73.130","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 62451  >  49668 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"65","6.353935","fe80::a8f9:bf90:88d5:7c62","ff02::1:2","DHCPv6","156","Solicit XID: 0x9589a4 CID: 000100012b3d3ad9900f0c86e395 "
"66","7.000548","192.168.137.147","10.4.73.130","TCP","66","62452  >  49669 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"67","8.005728","192.168.137.147","10.4.73.130","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 62452  >  49669 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"68","9.013642","192.168.137.147","10.4.73.130","TCP","66","62453  >  49716 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"69","9.108463","192.168.137.147","192.168.137.1","DNS","75","Standard query 0x6897 A su.ff.avast.com"
"70","9.108773","192.168.137.147","192.168.137.1","DNS","75","Standard query 0x28c9 AAAA su.ff.avast.com"
"71","9.120201","192.168.137.1","192.168.137.147","DNS","480","Standard query response 0x6897 A su.ff.avast.com CNAME su.ns1.ff.avast.com A 77.234.42.238 A 77.234.42.39 A 77.234.42.239 A 77.234.42.40 A 77.234.42.249 A 77.234.46.107 A 77.234.44.84 A 77.234.42.247 A 77.234.44.86 A 77.234.42.248 NS m.gtld-servers.net NS g.gtld-servers.net NS c.gtld-servers.net NS l.gtld-servers.net NS a.gtld-servers.net NS i.gtld-servers.net NS e.gtld-servers.net NS k.gtld-servers.net NS f.gtld-servers.net NS h.gtld-servers.net NS b.gtld-servers.net NS d.gtld-servers.net NS j.gtld-servers.net"
"72","9.120378","192.168.137.1","192.168.137.147","DNS","161","Standard query response 0x28c9 AAAA su.ff.avast.com CNAME su.ns1.ff.avast.com SOA dns1.p02.nsone.net"
"73","9.121642","192.168.137.147","192.168.137.1","DNS","87","Standard query 0x70c8 AAAA su.ff.avast.com.uptc.edu.co"
"74","9.125272","192.168.137.1","192.168.137.147","DNS","155","Standard query response 0x70c8 No such name AAAA su.ff.avast.com.uptc.edu.co SOA dns-pri.uptc.edu.co.uptc.edu.co"
"75","9.125576","192.168.137.147","192.168.137.1","DNS","86","Standard query 0x93a9 AAAA su.ff.avast.com.mshome.net"
"76","9.128282","192.168.137.1","192.168.137.147","DNS","86","Standard query response 0x93a9 No such name AAAA su.ff.avast.com.mshome.net"
"77","9.129045","192.168.137.147","77.234.42.238","TCP","66","62454  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"78","9.131168","77.234.42.238","192.168.137.147","TCP","66","80  >  62454 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1460 SACK_PERM WS=128"
"79","9.131352","192.168.137.147","77.234.42.238","TCP","54","62454  >  80 [ACK] Seq=1 Ack=1 Win=131328 Len=0"
"80","9.131580","192.168.137.147","77.234.42.238","HTTP","344","GET /R/A24KIGNlNTk2OTI4ZTRlMzQ1YTY4NzhiMTQzZjRlM2ViMDgyEgQCFAMjGKwCIgEBKggIBBDv58OoASoICAMQrZXwpwE4oa-EuAFCIHY6SnbH5a1RMzutpW5nQfJNNCF6fSbKVrDET0SEfzFeSICDKA== HTTP/1.1 "
"81","9.133401","77.234.42.238","192.168.137.147","TCP","54","80  >  62454 [ACK] Seq=1 Ack=291 Win=15744 Len=0"
"82","10.017952","192.168.137.147","10.4.73.130","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 62453  >  49716 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"83","10.036835","CloudNet_86:e3:ee","Broadcast","ARP","42","Who has 192.168.137.1? Tell 192.168.137.147"
"84","10.038577","7a:2b:46:79:67:01","CloudNet_86:e3:ee","ARP","42","192.168.137.1 is at 7a:2b:46:79:67:01"
"85","10.270056","77.234.42.238","192.168.137.147","TCP","1514","80  >  62454 [ACK] Seq=1 Ack=291 Win=15744 Len=1460 [TCP segment of a reassembled PDU]"
"86","10.270292","77.234.42.238","192.168.137.147","TCP","1514","80  >  62454 [ACK] Seq=1461 Ack=291 Win=15744 Len=1460 [TCP segment of a reassembled PDU]"
"87","10.270292","77.234.42.238","192.168.137.147","HTTP","858","HTTP/1.1 200 OK "
"88","10.270395","192.168.137.147","77.234.42.238","TCP","54","62454  >  80 [ACK] Seq=291 Ack=3725 Win=131328 Len=0"
"89","10.279661","192.168.137.147","77.234.42.238","HTTP","360","GET /R/A3sKIGNlNTk2OTI4ZTRlMzQ1YTY4NzhiMTQzZjRlM2ViMDgyEgQCFAMjGKwCIgH-KggIBBDZ6sOoASoICAMQrZXwpwEyCwgEENnqw6gBGIAKOKGvhLgBQiB2Okp2x-WtUTM7raVuZ0HyTTQhen0mylawxE9EhH8xXkiAgyg= HTTP/1.1 "
