"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","109.6.1.72","95.136.242.99","PPP LCP","74","Echo Request"
"2","0.000447","95.136.242.99","109.6.1.72","PPP LCP","72","Echo Reply"
"3","1.787478","95.136.242.99","109.6.1.72","PPP LCP","68","Echo Request"
"4","1.812373","109.6.1.72","95.136.242.99","PPP LCP","70","Echo Reply"
"5","4.905820","10.251.23.139","172.22.75.71","SIP/SDP","978","Request: INVITE sip:147@ims.mnc010.mcc208.3gppnetwork.org;user=phone | "
"6","4.935724","172.22.75.71","10.251.23.139","SIP","450","Status: 100 Trying | "
"7","5.254324","172.22.75.71","10.251.23.139","SIP/SDP","798","Status: 183 Session Progress | "
"8","5.298061","109.3.79.137","10.251.23.139","RTP","214","PT=ITU-T G.711 PCMA, SSRC=0x2D7B0B2C, Seq=44503, Time=1897162269"
"9","5.298097","172.22.75.71","10.251.23.139","SIP/SDP","881","Status: 200 OK (INVITE) | "
"10","5.298122","109.3.79.137","10.251.23.139","RTP","214","PT=ITU-T G.711 PCMA, SSRC=0x2D7B0B2C, Seq=44504, Time=1897162429"
"11","5.321046","109.3.79.137","10.251.23.139","RTP","214","PT=ITU-T G.711 PCMA, SSRC=0x2D7B0B2C, Seq=44505, Time=1897162589"
"12","5.321576","109.3.79.137","10.251.23.139","RTP","214","PT=ITU-T G.711 PCMA, SSRC=0x2D7B0B2C, Seq=44506, Time=1897162749"
"13","5.342726","109.3.79.137","10.251.23.139","RTP","214","PT=ITU-T G.711 PCMA, SSRC=0x2D7B0B2C, Seq=44507, Time=1897162909"
"14","5.379601","109.3.79.137","10.251.23.139","RTP","214","PT=ITU-T G.711 PCMA, SSRC=0x2D7B0B2C, Seq=44508, Time=1897163069"
"15","5.384497","109.3.79.137","10.251.23.139","RTP","214","PT=ITU-T G.711 PCMA, SSRC=0x2D7B0B2C, Seq=44509, Time=1897163229"
"16","5.436685","109.3.79.137","10.251.23.139","RTP","214","PT=ITU-T G.711 PCMA, SSRC=0x2D7B0B2C, Seq=44510, Time=1897163389"
"17","5.436719","109.3.79.137","10.251.23.139","RTP","214","PT=ITU-T G.711 PCMA, SSRC=0x2D7B0B2C, Seq=44511, Time=1897163549"
"18","5.447100","10.251.23.139","172.22.75.71","SIP","494","Request: ACK sip:pcgw-0006.imsgroup0-005.ach4isc02.ims.sfr.net:5062 | "
"19","5.457704","109.3.79.137","10.251.23.139","RTP","214","PT=ITU-T G.711 PCMA, SSRC=0x2D7B0B2C, Seq=44512, Time=1897163709"
"20","5.496860","109.3.79.137","10.251.23.139","RTP","214","PT=ITU-T G.711 PCMA, SSRC=0x2D7B0B2C, Seq=44513, Time=1897163869"
"21","5.496892","109.3.79.137","10.251.23.139","RTP","214","PT=ITU-T G.711 PCMA, SSRC=0x2D7B0B2C, Seq=44514, Time=1897164029"
"22","5.498655","10.251.23.139","109.3.79.137","RTP","214","PT=ITU-T G.711 PCMA, SSRC=0x446E4B53, Seq=34649, Time=324048415"
"23","5.500209","10.251.23.139","109.3.79.137","RTP","214","PT=ITU-T G.711 PCMA, SSRC=0x446E4B53, Seq=34650, Time=324048575"
