"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","95.136.242.99","109.0.66.10","DNS","95","Standard query 0x0002 AAAA ncdn.nb6dsl.neufbox.neuf.fr"
"2","0.033047","109.0.66.10","95.136.242.99","DNS","193","Standard query response 0x0002 AAAA ncdn.nb6dsl.neufbox.neuf.fr CNAME http.service-ncdn.sfr.net SOA ns1.9services.com"
"3","0.033645","95.136.242.99","109.0.66.10","DNS","93","Standard query 0x0003 AAAA http.service-ncdn.sfr.net"
"4","0.066063","109.0.66.10","95.136.242.99","DNS","152","Standard query response 0x0003 AAAA http.service-ncdn.sfr.net SOA ns1.9services.com"
"5","0.066878","95.136.242.99","109.0.66.10","DNS","95","Standard query 0x0004 A ncdn.nb6dsl.neufbox.neuf.fr"
"6","0.099073","109.0.66.10","95.136.242.99","DNS","166","Standard query response 0x0004 A ncdn.nb6dsl.neufbox.neuf.fr CNAME http.service-ncdn.sfr.net A 93.17.156.250 A 93.17.156.249"
"7","0.100024","10.251.23.139","93.17.156.250","TCP","74","33198  >  80 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM TSval=550051 TSecr=0 WS=2"
"8","0.120998","93.17.156.250","10.251.23.139","TCP","74","80  >  33198 [SYN, ACK] Seq=0 Ack=1 Win=14480 Len=0 MSS=1440 SACK_PERM TSval=2307889920 TSecr=550051 WS=512"
"9","0.121265","10.251.23.139","93.17.156.250","TCP","66","33198  >  80 [ACK] Seq=1 Ack=1 Win=5840 Len=0 TSval=550073 TSecr=2307889920"
"10","0.121887","10.251.23.139","93.17.156.250","HTTP","204","GET /nb6dsl_Vers%203.3.4_ter/nb6-3.3.4_ter.sha256sum HTTP/1.1 "
"11","0.145144","93.17.156.250","10.251.23.139","TCP","66","80  >  33198 [ACK] Seq=1 Ack=139 Win=15872 Len=0 TSval=2307889926 TSecr=550073"
"12","0.146126","93.17.156.250","10.251.23.139","HTTP","951","HTTP/1.1 200 OK "
"13","0.146311","10.251.23.139","93.17.156.250","TCP","66","33198  >  80 [ACK] Seq=139 Ack=886 Win=8736 Len=0 TSval=550098 TSecr=2307889926"
"14","0.166927","10.251.23.139","93.17.156.250","TCP","66","33198  >  80 [FIN, ACK] Seq=139 Ack=886 Win=8736 Len=0 TSval=550118 TSecr=2307889926"
"15","0.188752","93.17.156.250","10.251.23.139","TCP","66","80  >  33198 [FIN, ACK] Seq=886 Ack=140 Win=15872 Len=0 TSval=2307889937 TSecr=550118"
"16","0.189009","10.251.23.139","93.17.156.250","TCP","66","33198  >  80 [ACK] Seq=140 Ack=887 Win=8736 Len=0 TSval=550141 TSecr=2307889937"
"17","2.465047","HuaweiTe_f0:45:d7","Sfr_67:7e:29","ARP","60","Who has 10.251.196.4? Tell 10.251.196.1"
"18","2.466501","HuaweiTe_f0:45:d7","Sfr_60:90:f9","ARP","60","Who has 10.194.144.122? Tell 10.194.144.1"
