"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.10.1.4","10.10.1.1","DNS","76","Standard query 0x7956 A mail.patriots.in"
"2","0.034025","10.10.1.1","10.10.1.4","DNS","142","Standard query response 0x7956 A mail.patriots.in CNAME patriots.in A 74.53.140.153 NS ns2.patriots.in NS ns1.patriots.in"
"3","0.036986","10.10.1.4","74.53.140.153","TCP","62","1470  >  25 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM"
"4","0.383936","74.53.140.153","10.10.1.4","TCP","62","25  >  1470 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM"
"5","0.383968","10.10.1.4","74.53.140.153","TCP","54","1470  >  25 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"6","0.727603","74.53.140.153","10.10.1.4","SMTP","235","S: 220-xc90.websitewelcome.com ESMTP Exim 4.69 #1 Mon, 05 Oct 2009 01:05:54 -0500  | We do not authorize the use of this system to transport unsolicited,  | and/or bulk e-mail."
"7","0.732749","10.10.1.4","74.53.140.153","SMTP","63","C: EHLO GP"
"8","1.073326","74.53.140.153","10.10.1.4","TCP","60","25  >  1470 [ACK] Seq=182 Ack=10 Win=5840 Len=0"
"9","1.074123","74.53.140.153","10.10.1.4","SMTP","191","S: 250-xc90.websitewelcome.com Hello GP [122.162.143.157] | SIZE 52428800 | PIPELINING | AUTH PLAIN LOGIN | STARTTLS | HELP"
"10","1.076669","10.10.1.4","74.53.140.153","SMTP","66","C: AUTH LOGIN"
"11","1.419021","74.53.140.153","10.10.1.4","SMTP","72","S: 334 VXNlcm5hbWU6"
"12","1.419595","10.10.1.4","74.53.140.153","SMTP","84","C: User: Z3VycGFydGFwQHBhdHJpb3RzLmlu"
"13","1.761484","74.53.140.153","10.10.1.4","SMTP","72","S: 334 UGFzc3dvcmQ6"
"14","1.762058","10.10.1.4","74.53.140.153","SMTP","72","C: Pass: cHVuamFiQDEyMw=="
"15","2.121738","74.53.140.153","10.10.1.4","SMTP","84","S: 235 Authentication succeeded"
"16","2.122354","10.10.1.4","74.53.140.153","SMTP","90","C: MAIL FROM: <gurpartap@patriots.in>"
"17","2.464705","74.53.140.153","10.10.1.4","SMTP","62","S: 250 OK"
"18","2.465190","10.10.1.4","74.53.140.153","SMTP","93","C: RCPT TO: <raj_deol2002in@yahoo.co.in>"
"19","2.827648","74.53.140.153","10.10.1.4","SMTP","68","S: 250 Accepted"
"20","2.828143","10.10.1.4","74.53.140.153","SMTP","60","C: DATA"
"21","3.169619","74.53.140.153","10.10.1.4","SMTP","110","S: 354 Enter message, ending with ""."" on a line by itself"
"22","3.200683","10.10.1.4","74.53.140.153","SMTP","1514","C: DATA fragment, 1460 bytes"
"23","3.200726","10.10.1.4","74.53.140.153","SMTP","1514","C: DATA fragment, 1460 bytes"
"24","3.200744","10.10.1.4","74.53.140.153","SMTP","1514","C: DATA fragment, 1460 bytes"
"25","3.200763","10.10.1.4","74.53.140.153","SMTP","1514","[TCP Window Full] C: DATA fragment, 1460 bytes"
"26","3.203055","192.168.1.1","10.10.1.4","ICMP","590","Destination unreachable (Fragmentation needed)"
"27","3.203110","10.10.1.4","74.53.140.153","TCP","1506","[TCP Out-Of-Order] 1470  >  25 [ACK] Seq=151 Ack=463 Win=65073 Len=1452"
"28","3.203563","192.168.1.1","10.10.1.4","ICMP","590","Destination unreachable (Fragmentation needed)"
"29","3.204188","192.168.1.1","10.10.1.4","ICMP","590","Destination unreachable (Fragmentation needed)"
"30","3.204574","192.168.1.1","10.10.1.4","ICMP","590","Destination unreachable (Fragmentation needed)"
"31","3.612881","74.53.140.153","10.10.1.4","TCP","60","25  >  1470 [ACK] Seq=463 Ack=1603 Win=8712 Len=0"
"32","3.612912","10.10.1.4","74.53.140.153","TCP","1506","[TCP Retransmission] 1470  >  25 [ACK] Seq=1603 Ack=463 Win=65073 Len=1452"
"33","3.612938","10.10.1.4","74.53.140.153","TCP","1506","[TCP Retransmission] 1470  >  25 [ACK] Seq=3055 Ack=463 Win=65073 Len=1452"
"34","3.977663","74.53.140.153","10.10.1.4","TCP","60","25  >  1470 [ACK] Seq=463 Ack=3055 Win=11616 Len=0"
"35","3.977699","10.10.1.4","74.53.140.153","TCP","1506","[TCP Retransmission] 1470  >  25 [ACK] Seq=4507 Ack=463 Win=65073 Len=1452"
"36","3.977754","10.10.1.4","74.53.140.153","TCP","1506","[TCP Retransmission] 1470  >  25 [ACK] Seq=5959 Ack=463 Win=65073 Len=1452"
"37","4.002107","74.53.140.153","10.10.1.4","TCP","60","25  >  1470 [ACK] Seq=463 Ack=4507 Win=14520 Len=0"
"38","4.002121","10.10.1.4","74.53.140.153","SMTP","1506","C: DATA fragment, 1452 bytes"
"39","4.002139","10.10.1.4","74.53.140.153","SMTP","1506","C: DATA fragment, 1452 bytes"
"40","4.342535","74.53.140.153","10.10.1.4","TCP","60","25  >  1470 [ACK] Seq=463 Ack=5959 Win=17424 Len=0"
"41","4.342568","10.10.1.4","74.53.140.153","SMTP","1506","C: DATA fragment, 1452 bytes"
"42","4.342595","10.10.1.4","74.53.140.153","SMTP","1506","C: DATA fragment, 1452 bytes"
"43","4.366241","74.53.140.153","10.10.1.4","TCP","60","[TCP ACKed unseen segment] 25  >  1470 [ACK] Seq=463 Ack=7411 Win=20328 Len=0"
"44","4.366256","10.10.1.4","74.53.140.153","SMTP","1506","C: DATA fragment, 1452 bytes"
